Developmental Disability Services Office,Service Provider Agency,Street Address ,Street Address Line 2,City,State,Zip Code,Phone,County,Website Url,Intermediate Care Facilities (ICFs),Individual Residential Alternative (IRA),Family Care,Self-Direction Services,Individual Support Services (ISSs),Day Training,Day Treatment,Senior/Geriatric Services,Day Habilitation,Work Shop,Prevocational,Supported Employment Enrollments,Community Habilitation,Family Support Services,Care at Home Waiver Services,Developmental Centers And Special Population Services,Location 1
HUDSON VALLEY DDSO,NYSARC INC  SULLIVAN-ORANGE COUNTIES CH,162 EAST BROADWAY,,MONTICELLO,NY,12701,845-796-1350,SULLIVAN,http://www.sullivanarc.org,N,Y,N,N,Y,N,N,Y,Y,N,Y,Y,Y,Y,N,N,"162 EAST BROADWAY
MONTICELLO, NY 12701
(41.648415, -74.661771)"
HUDSON VALLEY DDSO,COMMUNITY LIVING CORPORATION,135 RADIO CIRCLE DRIVE,,MT. KISCO,NY,10549,914-241-2527,WESTCHESTER,http://www.communityliving.org,N,Y,N,N,Y,N,N,N,Y,N,N,Y,Y,N,N,N,"135 RADIO CIRCLE DRIVE
MT. KISCO, NY 10549
(41.192342, -73.7397)"
FINGER LAKES DDSO,LIVINGSTON/WYOMING CO. NYSARC,18 MAIN STREET,,MT. MORRIS,NY,14510,585-658-2828,LIVINGSTON,http://www.lwarc.org,N,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,Y,Y,N,N,"18 MAIN STREET
MT. MORRIS, NY 14510
(42.726855, -77.87478)"
HUDSON VALLEY DDSO,CAMP VENTURE  INC.,25 SMITH STREET,SUITE 510,NANUET,NY,10954,845-624-3860,ROCKLAND,http://www.campventure.org,N,Y,N,N,Y,N,N,N,Y,N,Y,Y,Y,Y,N,N,"25 SMITH STREET
NANUET, NY 10954
(41.095622, -73.999029)"
FINGER LAKES DDSO,WAYNE CO. NYSARC  INC.,150 VAN BUREN STREET,,NEWARK,NY,14513,315-331-7741,WAYNE,http://www.waynearc.org,N,Y,N,N,Y,N,N,N,Y,Y,Y,Y,Y,Y,N,N,"150 VAN BUREN STREET
NEWARK, NY 14513
(43.047951, -77.093385)"
HUDSON VALLEY DDSO,INDEPENDENT HOME CARE  INC.,5 WASHINGTON TERRACE,,NEWBURGH,NY,12550,845-565-1162,ORANGE,,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,"5 WASHINGTON TERRACE
NEWBURGH, NY 12550
(41.499615, -74.027458)"
HUDSON VALLEY DDSO,JAWONIO  INC.,260 NORTH LITTLE TOR ROAD,,NEW CITY,NY,10956,845-634-4648,ROCKLAND,http://www.jawonio.org,N,N,N,N,Y,N,N,Y,Y,Y,Y,Y,N,Y,N,N,"260 NORTH LITTLE TOR ROAD
NEW CITY, NY 10956
(41.163222, -74.004877)"
METRO NEW YORK DDSO,ADAPT COMMUNITY NETWORK (DBA),80 MAIDEN LANE,8TH FLOOR,NEW YORK,NY,10038,212-683-6700,NEW YORK,http://www.ucpnyc.org,Y,Y,N,N,Y,N,N,N,Y,Y,N,Y,Y,Y,N,N,"80 MAIDEN LANE
NEW YORK, NY 10038
(40.707309, -74.007544)"
METRO NEW YORK DDSO,COMMUNITY OPTIONS NEW YORK  INC.,350 5TH AVENUE,SUITE 5230,NEW YORK,NY,10118,212-227-9110,NEW YORK,http://www.comop.org,N,Y,N,N,Y,N,N,N,Y,N,Y,Y,Y,N,N,N,"350 5TH AVENUE
NEW YORK, NY 10118
(40.748082, -73.984819)"
METRO NEW YORK DDSO,CONSTRUCTIVE PARTNERSHIPS UNLIMITED,40 RECTOR STREET,15TH FLOOR,NEW YORK,NY,10006,212-947-5770,NEW YORK,http://www.cpofnys.org,N,Y,N,N,Y,N,N,N,Y,N,Y,Y,Y,Y,N,N,"40 RECTOR STREET
NEW YORK, NY 10006
(40.708382, -74.014801)"
METRO NEW YORK DDSO,HUMAN FIRST  INC,80 MAIDEN LANE,8TH FLOOR,NEW YORK,NY,10038,516-823-9500,NEW YORK,http://www.humanfirst.us,N,Y,N,N,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,"80 MAIDEN LANE
NEW YORK, NY 10038
(40.707309, -74.007544)"
METRO NEW YORK DDSO,JEWISH UNION FOUNDATION,11 BROADWAY,13TH FLOOR,NEW YORK,NY,10004,212-613-8104,NEW YORK,http://www.njcd.org/staff/jewishunionfoundation,N,N,N,N,Y,N,N,N,Y,N,N,Y,Y,N,N,N,"11 BROADWAY
NEW YORK, NY 10004
(40.705197, -74.013859)"
METRO NEW YORK DDSO,JOB PATH  INC.,256 W 38TH STREET,2ND FLOOR,NEW YORK,NY,10018,212-944-0564,NEW YORK,http://www.jobpathnyc.org,N,Y,N,Y,Y,Y,N,N,Y,N,N,Y,Y,Y,N,N,"256 W 38TH STREET
NEW YORK, NY 10018
(40.754333, -73.990718)"
METRO NEW YORK DDSO,LIFESPIRE  INC.,1 WHITEHALL STREET,9TH FLOOR,NEW YORK,NY,10004,212-741-0100,NEW YORK,http://www.lifespire.org,Y,Y,N,N,Y,N,N,N,Y,N,Y,Y,Y,Y,N,N,"1 WHITEHALL STREET
NEW YORK, NY 10004
(40.701836, -74.012668)"
METRO NEW YORK DDSO,NY FOUNDATION FOR SENIOR CITIZENS,150 NASSAU STREET,SUITE 1730,NEW YORK,NY,10038,,NEW YORK,http://www.nyfsc.org,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,"150 NASSAU STREET
NEW YORK, NY 10038
(40.711527, -74.006074)"
METRO NEW YORK DDSO,NYS ARC NEW YORK CITY CHAPTER,83 MAIDEN LANE,,NEW YORK,NY,10038,212-780-2500,NEW YORK,http://www.ahrcnyc.org,Y,Y,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,Y,N,N,"83 MAIDEN LANE
NEW YORK, NY 10038
(40.707424, -74.007628)"
METRO NEW YORK DDSO,PARTNERSHIP FOR INNOVATIVE COMPREHENSIVE,134 WEST 29TH STREET,12TH FLOOR,NEW YORK,NY,10001,212-480-9169,NEW YORK,,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,"134 WEST 29TH STREET
NEW YORK, NY 10001
(40.747298, -73.991584)"
METRO NEW YORK DDSO,QSAC  INC.,253 WEST 35TH STREET,14TH FLOOR,NEW YORK,NY,10001,212-244-5560,NEW YORK,http://www.qsac.com,N,Y,N,N,Y,N,N,N,Y,N,N,N,Y,Y,N,N,"253 WEST 35TH STREET
NEW YORK, NY 10001
(40.752513, -73.992134)"
METRO NEW YORK DDSO,SERVICES FOR THE UNDERSERVED  INC.,463 7TH AVENUE,17TH FLOOR,NEW YORK,NY,10018,212-633-6900,NEW YORK,http://sus.org,N,Y,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,"463 7TH AVENUE
NEW YORK, NY 10018
(40.75182, -73.990024)"
METRO NEW YORK DDSO,SINERGIA,2082 LEXINGTON AVE,4TH FLOOR,NEW YORK,NY,10035,212-643-2840,NEW YORK,http://www.sinergiany.org,N,Y,Y,N,Y,N,N,N,Y,N,Y,Y,Y,Y,N,N,"2082 LEXINGTON AVE
NEW YORK, NY 10035
(40.804873, -73.93706)"
METRO NEW YORK DDSO,YAI - YOUNG ADULT INSTITUTE,220 EAST 42ND STREET,FLOOR 8,NEW YORK,NY,10017,212-563-7474,NEW YORK,http://www.yai.org,N,Y,N,N,Y,Y,N,N,Y,N,Y,Y,Y,Y,N,N,"220 EAST 42ND STREET
NEW YORK, NY 10017
(40.75012, -73.972927)"
WESTERN NEW YORK DDSO,EMPOWER (DBA),9812 LOCKPORT ROAD,,NIAGARA FALLS,NY,14304,716-297-0798,NIAGARA,http://www.niagaracp.org,Y,Y,N,N,Y,N,N,N,N,N,Y,Y,Y,Y,N,N,"9812 LOCKPORT ROAD
NIAGARA FALLS, NY 14304
(43.121254, -78.949667)"
HUDSON VALLEY DDSO,COMMUNITY BASED SERVICES  INC.,3 FIELDS LANE,,NORTH SALEM,NY,10560,914-277-4771,WESTCHESTER,http://www.commbasedservices.org,N,Y,N,N,Y,N,N,N,Y,N,Y,Y,Y,Y,N,N,"3 FIELDS LANE
NORTH SALEM, NY 10560
(41.349816, -73.646382)"
LONG ISLAND DDSO,FAMILY RESID AND ESSENT ENTERPRISES  INC,191 SWEET HOLLOW ROAD,,OLD BETHPAGE,NY,11804,631-273-1300,NASSAU,http://www.familyres.org,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,Y,N,N,"191 SWEET HOLLOW ROAD
OLD BETHPAGE, NY 11804
(40.761497, -73.442404)"
WESTERN NEW YORK DDSO,CATTARAUGUS REHABILITATION CENTER,1439 BUFFALO STREET,,OLEAN,NY,14760,716-375-4747,CATTARAUGUS,http://www.rehabcenter.org,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,"1439 BUFFALO STREET
OLEAN, NY 14760
(42.086785, -78.448017)"
WESTERN NEW YORK DDSO,NYSARC INC CATTARAUGUS-NIAGARA CNTY CHAP,1439 BUFFALO STREET,,OLEAN,NY,14760,716-375-4747,CATTARAUGUS,http://www.rehabcenter.org,Y,Y,Y,N,Y,N,N,N,Y,Y,Y,Y,Y,Y,N,N,"1439 BUFFALO STREET
OLEAN, NY 14760
(42.086785, -78.448017)"
BROOME DDSO,SPRINGBROOK NY  INC.,105 CAMPUS DRIVE,,ONEONTA,NY,13820,607-286-7171,OTSEGO,http://www.springbrookny.org,N,Y,N,Y,Y,N,N,N,Y,N,Y,Y,Y,Y,N,N,
LONG ISLAND DDSO,ECONOMIC OPPORTUNITY COUNCIL OF SUFFOLK,31 WEST MAIN STREET,SUITE 300,PATCHOGUE,NY,11772,631-289-2124,SUFFOLK,http://eoc-suffolk.com,N,N,N,Y,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,"31 WEST MAIN STREET
PATCHOGUE, NY 11772
(40.765723, -73.015805)"
FINGER LAKES DDSO,YATES CO. NYSARC  INC.,235 NORTH AVENUE,,PENN YAN,NY,14527,315-536-7447,YATES,http://www.arcofyates.org,N,N,N,N,Y,N,N,N,Y,N,Y,Y,N,Y,N,N,"235 NORTH AVENUE
PENN YAN, NY 14527
(42.669681, -77.055909)"
SUNMOUNT DDSO,CLINTON CO. NYSARC  INC.,231 NEW YORK ROAD,,PLATTSBURGH,NY,12903,518-563-0930,CLINTON,http://www.cviarc.org,N,Y,N,Y,Y,N,N,N,Y,N,Y,Y,Y,Y,N,N,"231 NEW YORK ROAD
PLATTSBURGH, NY 12903
(44.670485, -73.45351)"
SUNMOUNT DDSO,MOUNTAIN LAKE SERVICES,10 ST. PATRICK'S PLACE,,PORT HENRY,NY,12974,518-546-3381,ESSEX,http://www.mountainlakeservices.org/contact-us/,N,Y,N,Y,Y,N,N,N,Y,N,Y,Y,Y,Y,N,N,"10 ST. PATRICK'S PLACE
PORT HENRY, NY 12974
(44.047943, -73.458435)"
TACONIC DDSO,ABILITIES FIRST  INC,70 OVEROCKER ROAD,,POUGHKEEPSIE,NY,12603,845-485-9803,DUTCHESS,http://www.abilitiesfirstny.org,N,Y,N,Y,Y,N,N,N,Y,N,Y,Y,Y,Y,N,N,"70 OVEROCKER ROAD
POUGHKEEPSIE, NY 12603
(41.693032, -73.881228)"
TACONIC DDSO,DUTCHESS CO. NYSARC  INC.,84 PATRICK LANE,,POUGHKEEPSIE,NY,12603,845-635-8084,DUTCHESS,http://dutchess-arc.org,N,Y,N,N,Y,N,N,N,Y,N,Y,Y,Y,Y,N,N,"84 PATRICK LANE
POUGHKEEPSIE, NY 12603
(41.680417, -73.860999)"
LONG ISLAND DDSO,MARYHAVEN CENTER OF HOPE  INC.,51 TERRYVILLE ROAD,,PT JEFFERSON STATION,NY,11776,631-474-4120,SUFFOLK,http://maryhaven.chsli.org,Y,Y,N,N,Y,N,N,N,Y,N,Y,Y,Y,Y,N,N,"51 TERRYVILLE ROAD
PT JEFFERSON STATION, NY 11776
(40.927237, -73.053109)"
CAPITAL DISTRICT DDSO,NYSARC - WARREN  WASHINGTON & ALBANY CTY,436 QUAKER ROAD,,QUEENSBURY,NY,12804,518-793-4204,WARREN,http://www.wwarc.org,N,Y,N,N,Y,N,N,N,Y,N,Y,Y,Y,Y,N,N,"436 QUAKER ROAD
QUEENSBURY, NY 12804
(43.330753, -73.634028)"
BERNARD M. FINESON DDSO,IRI: INNOVATIVE RES FOR INDEPEND  INC.,112-40 FRANCIS LEWIS BLVD,,QUEENS VILLAGE,NY,11429,718-805-6796,QUEENS,http://www.in-res.org,Y,Y,N,N,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,"112-40 FRANCIS LEWIS BLVD
QUEENS VILLAGE, NY 11429
(40.703149, -73.749387)"
BERNARD M. FINESON DDSO,QUEENS PARENT RESOURCE CENTER  INC,112-40 FRANCIS LEWIS BLVD.,,QUEENS VILLAGE,NY,11429,347-947-6840,QUEENS,http://www.qprc.net,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,"112-40 FRANCIS LEWIS BLVD.
QUEENS VILLAGE, NY 11429
(40.703149, -73.749387)"
LONG ISLAND DDSO,EAST END DISABILITY ASSOCIATES  INC.,107 ROANOKE AVENUE,,RIVERHEAD,NY,11901,631-369-7345,SUFFOLK,http://www.eed-a.org,N,Y,N,Y,Y,N,N,N,Y,N,Y,Y,Y,Y,N,N,"107 ROANOKE AVENUE
RIVERHEAD, NY 11901
(40.917221, -72.662235)"
FINGER LAKES DDSO,0263 - FINGER LAKES DDSO,620 WESTFALL ROAD,,ROCHESTER,NY,14620,585-461-8500,MONROE,,N,Y,Y,N,Y,N,N,N,Y,N,N,Y,N,N,N,N,"620 WESTFALL ROAD
ROCHESTER, NY 14620
(43.115081, -77.604962)"
FINGER LAKES DDSO,CATHOLIC CHARITIES OF ROCHESTER,1099 JAY STREET,BUILDING J,ROCHESTER,NY,14611,585-339-9800,MONROE,http://www.cccsrochester.org,N,Y,N,Y,Y,N,N,N,N,N,Y,Y,Y,Y,N,N,"1099 JAY STREET
ROCHESTER, NY 14611
(43.159364, -77.650727)"
FINGER LAKES DDSO,CENTER FOR DISABILITY RIGHTS  INC.,412 STATE STREET,,ROCHESTER,NY,14608,585-546-7510,MONROE,http://www.cdrnys.org,N,N,N,N,Y,N,N,N,Y,N,N,N,Y,Y,N,N,"412 STATE STREET
ROCHESTER, NY 14608
(43.162165, -77.620378)"
FINGER LAKES DDSO,CP ROCHESTER (DBA),3399 WINTON ROAD SOUTH,,ROCHESTER,NY,14623,585-334-6000,MONROE,http://www.cprochester.org,N,Y,N,N,Y,N,N,N,Y,N,N,N,Y,Y,N,N,"3399 WINTON ROAD SOUTH
ROCHESTER, NY 14623
(43.083914, -77.581922)"
FINGER LAKES DDSO,EPILEPSY-PRALID  INC.,2 TOWNLINE CIRCLE,,ROCHESTER,NY,14623,585-442-6420,MONROE,http://www.epiny.org,N,Y,N,Y,Y,N,N,N,Y,N,N,N,Y,Y,N,N,"2 TOWNLINE CIRCLE
ROCHESTER, NY 14623
(43.09573, -77.627759)"
FINGER LAKES DDSO,HERITAGE CHRISTIAN SERVICES  INC.,275 KENNETH DRIVE,SUITE 100,ROCHESTER,NY,14623,585-340-2000,MONROE,http://www.heritagechristianservices.org,N,Y,N,Y,Y,N,N,N,Y,N,Y,Y,Y,Y,N,N,"275 KENNETH DRIVE
ROCHESTER, NY 14623
(43.060531, -77.643387)"
FINGER LAKES DDSO,HILLSIDE CHILDREN'S CENTER,1183 MONROE AVENUE,,ROCHESTER,NY,14620,585-256-7500,MONROE,http://www.hillside.com,N,Y,N,N,Y,N,N,N,Y,N,Y,N,N,N,N,N,"1183 MONROE AVENUE
ROCHESTER, NY 14620
(43.138341, -77.579253)"
FINGER LAKES DDSO,LIFESPAN OF GREATER ROCHESTER  INC.,1900 SOUTH CLINTON AVENUE,,ROCHESTER,NY,14618,585-244-8400,MONROE,http://www.lifespan-roch.org,N,N,N,N,Y,Y,N,Y,Y,N,N,N,N,Y,N,N,"1900 SOUTH CLINTON AVENUE
ROCHESTER, NY 14618
(43.121047, -77.594889)"
FINGER LAKES DDSO,LIFETIME ASSISTANCE  INC.,425 PAUL ROAD,,ROCHESTER,NY,14624,585-426-4120,MONROE,http://www.lifetimeassistance.org,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,Y,Y,N,N,"425 PAUL ROAD
ROCHESTER, NY 14624
(43.106818, -77.710574)"
FINGER LAKES DDSO,MONROE CO. NYSARC  INC.,2060 BRIGHTON HENRIETTA,TOWNLINE ROAD,ROCHESTER,NY,14623,585-271-0660,MONROE,http://www.arcmonroe.org,N,Y,N,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,N,
FINGER LAKES DDSO,STARBRIDGE SERVICES  INC.,1650 SOUTH AVENUE,SUITE 200,ROCHESTER,NY,14620,585-263-3323,MONROE,http://www.ldagvi.org,N,Y,N,Y,Y,N,N,N,Y,N,Y,Y,Y,Y,N,N,"1650 SOUTH AVENUE
ROCHESTER, NY 14620
(43.124503, -77.614415)"
FINGER LAKES DDSO,URBAN LEAGUE OF ROCHESTER  N.Y.  INC.,265 NORTH CLINTON AVENUE,,ROCHESTER,NY,14605,585-325-6530,MONROE,http://www.ulr.org,N,N,Y,N,Y,N,N,N,Y,N,N,N,Y,Y,N,N,"265 NORTH CLINTON AVENUE
ROCHESTER, NY 14605
(43.162517, -77.608615)"
LONG ISLAND DDSO,UCPA OF NASSAU CO.  INC.,380 WASHINGTON AVENUE,,ROOSEVELT,NY,11575,516-378-2000,NASSAU,http://www.ucpn.org,Y,Y,N,N,Y,N,Y,N,Y,Y,N,Y,Y,Y,N,N,"380 WASHINGTON AVENUE
ROOSEVELT, NY 11575
(40.679607, -73.576153)"
BERNARD M. FINESON DDSO,SERENITY HUMAN SERVICES  INC.,133-33 BROOKVILLE BLVD,SUITE 213,ROSEDALE,NY,11422,718-526-6125,QUEENS,http://tendercareny.org,N,N,N,N,Y,N,N,N,Y,N,N,N,Y,Y,N,N,"133-33 BROOKVILLE BLVD
ROSEDALE, NY 11422
(40.674809, -73.732395)"
HUDSON VALLEY DDSO,CEREBRAL PALSY OF WESTCHESTER  INC.,1186 KING STREET,,RYE BROOK,NY,10573,914-937-3800,WESTCHESTER,http://www.cpwestchester.org,Y,Y,N,N,Y,Y,Y,N,Y,N,N,Y,Y,Y,N,N,
CAPITAL DISTRICT DDSO,AIM SERVICES  INC.,4227 ROUTE 50,,SARATOGA SPRINGS,NY,12866,518-587-3208,SARATOGA,http://www.aimservicesinc.org,N,Y,Y,Y,Y,N,N,N,Y,N,Y,Y,Y,Y,N,N,"4227 ROUTE 50
SARATOGA SPRINGS, NY 12866
(43.1218, -73.722774)"
CAPITAL DISTRICT DDSO,0260 - CAPITAL DISTRICT DDSO,500 BALLTOWN ROAD,,SCHENECTADY,NY,12304,518-370-7370,SCHENECTADY,,N,Y,Y,N,Y,N,N,N,Y,N,N,Y,N,Y,N,N,"500 BALLTOWN ROAD
SCHENECTADY, NY 12304
(42.779743, -73.893308)"
CAPITAL DISTRICT DDSO,SCHENECTADY CO. NYSARC  INC.,214 STATE STREET,,SCHENECTADY,NY,12305,518-372-1160,SCHENECTADY,http://www.areschenectady.org,N,Y,N,Y,Y,N,N,N,Y,N,Y,Y,Y,Y,N,N,"214 STATE STREET
SCHENECTADY, NY 12305
(42.814878, -73.945669)"
CAPITAL DISTRICT DDSO,WILDWOOD PROGRAMS  INC.,2995 CURRY ROAD EXT.,,SCHENECTADY,NY,12303,518-640-3367,SCHENECTADY,http://www.wildwood.edu,N,Y,N,N,Y,Y,N,N,Y,N,Y,Y,Y,Y,N,N,
TACONIC DDSO,ANDERSON CENTER SERVICES,4888 ROUTE 9,P.O. BOX 367,STAATSBURG,NY,12580,845-889-4034,DUTCHESS,https://www.andersoncenterforautism.org,N,Y,N,N,Y,N,N,N,Y,N,N,N,Y,Y,N,N,"4888 ROUTE 9
STAATSBURG, NY 12580
(41.826571, -73.934142)"
STATEN ISLAND DDSO,CROSSROADS UNLIMITED  INC.,1207 CASTLETON AVENUE,,STATEN ISLAND,NY,10310,718-420-6330,RICHMOND,http://crossroadsunlimitedinc.org,N,Y,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,"1207 CASTLETON AVENUE
STATEN ISLAND, NY 10310
(40.634104, -74.122687)"
STATEN ISLAND DDSO,LIFESTYLES FOR THE DISABLED,930 WILLOWBROOK ROAD,BUILDING 12-G,STATEN ISLAND,NY,10314,718-983-5351,RICHMOND,http://www.lfdsi.org,N,N,N,Y,Y,N,N,N,Y,N,Y,Y,Y,Y,N,N,"930 WILLOWBROOK ROAD
STATEN ISLAND, NY 10314
(40.603381, -74.142013)"
STATEN ISLAND DDSO,MODEST COMMUNITY SERVICES ASSOCIATION,88 NEW DORP PLAZA,SUITE 202,STATEN ISLAND,NY,10306,718-447-8200,RICHMOND,http://modestservices.org,N,Y,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,"88 NEW DORP PLAZA
STATEN ISLAND, NY 10306
(40.572961, -74.117684)"
STATEN ISLAND DDSO,N Y S INSTITUTE ON DISABILITY  INC.,930 WILLOWBROOK ROAD,BUILDING 41A,STATEN ISLAND,NY,10314,212-487-5316,RICHMOND,,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,"930 WILLOWBROOK ROAD
STATEN ISLAND, NY 10314
(40.603381, -74.142013)"
STATEN ISLAND DDSO,ON YOUR MARK  INC.,645 FOREST AVENUE,SUITE 2A,STATEN ISLAND,NY,10310,718-720-9233,RICHMOND,http://www.onyourmark.org,N,Y,N,N,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,"645 FOREST AVENUE
STATEN ISLAND, NY 10310
(40.629811, -74.110533)"
STATEN ISLAND DDSO,PERSON CENTERED CARE SERVICES  INC.,150 GRANITE AVENUE,,STATEN ISLAND,NY,10303,718-370-1088,RICHMOND,http://www.pccsny.org,N,Y,N,Y,Y,N,N,N,Y,N,Y,Y,Y,Y,N,N,"150 GRANITE AVENUE
STATEN ISLAND, NY 10303
(40.633388, -74.14832)"
STATEN ISLAND DDSO,THE GOOD SHEPHARD,89 ARLINGTON AVENUE,,STATEN ISLAND,NY,10303,917-678-3510,RICHMOND,http://www.thegoodshephard.com,N,N,N,N,Y,N,N,N,Y,N,N,N,Y,Y,N,N,"89 ARLINGTON AVENUE
STATEN ISLAND, NY 10303
(40.638138, -74.167423)"
TACONIC DDSO,KELI HOUSE COMMUNITY SERVICES  INC.,184 ROUTE 216,,STORMVILLE,NY,12582,845-226-1246,DUTCHESS,http://www.kelihouse.com,N,N,N,N,Y,N,N,N,Y,N,N,N,Y,Y,N,N,"184 ROUTE 216
STORMVILLE, NY 12582
(41.570995, -73.747664)"
CENTRAL NEW YORK DDSO,ACCESSCNY INC,1603 COURT STREET,,SYRACUSE,NY,13208,315-455-7591,ONONDAGA,http://www.accesscny.org,N,Y,N,Y,Y,Y,N,N,Y,N,N,Y,Y,Y,N,N,"1603 COURT STREET
SYRACUSE, NY 13208
(43.078766, -76.145639)"
CENTRAL NEW YORK DDSO,COVENANT HOUSING CORP OF CNY,1228 TEALL AVENUE,SUITE 102,SYRACUSE,NY,13206,315-834-2420,ONONDAGA,,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,"1228 TEALL AVENUE
SYRACUSE, NY 13206
(43.063819, -76.1226)"
CENTRAL NEW YORK DDSO,ONONDAGA COMMUNITY LIVING,518 JAMES STREET,SUITE 110,SYRACUSE,NY,13203,315-434-9597,ONONDAGA,http://www.oclinc.org,N,N,N,Y,Y,N,N,N,N,N,Y,Y,Y,Y,N,N,"518 JAMES STREET
SYRACUSE, NY 13203
(43.054018, -76.145098)"
CENTRAL NEW YORK DDSO,ONONDAGA CO. NYSARC  INC.,600 SOUTH WILBUR AVENUE,,SYRACUSE,NY,13204,315-476-7441,ONONDAGA,http://www.arcon.org,N,Y,N,N,Y,N,N,N,Y,N,Y,Y,Y,Y,N,N,"600 SOUTH WILBUR AVENUE
SYRACUSE, NY 13204
(43.044299, -76.17582)"
CAPITAL DISTRICT DDSO,NYS ARC RENSSELAER COUNTY CHAPTER,79 102ND STREET,,TROY,NY,12180,518-274-3110,RENSSELAER,http://www.renarc.org/,N,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,Y,Y,N,N,"79 102ND STREET
TROY, NY 12180
(42.755919, -73.676101)"
SUNMOUNT DDSO,THE ADIRONDACK ARC,12 MOHAWK STREET,,TUPPER LAKE,NY,12986,518-359-3351,FRANKLIN,http://www.adirondackarc.org,N,Y,N,N,Y,N,N,N,Y,N,N,N,Y,Y,N,N,"12 MOHAWK STREET
TUPPER LAKE, NY 12986
(44.240815, -74.486639)"
CENTRAL NEW YORK DDSO,RESOURCE CTR F/INDEPENDENT LIVING  INC.,409 COLUMBIA STREET,P.O. BOX 210,UTICA,NY,13503,315-797-4642,ONEIDA,http://www.rcil.com,N,N,N,Y,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,"409 COLUMBIA STREET
UTICA, NY 13503
(43.103024, -75.236302)"
CENTRAL NEW YORK DDSO,THE ARC (ONEIDA-LEWIS NYSARC CHAPTERS),245 GENESEE STREET,,UTICA,NY,13501,315-735-6477,ONEIDA,http://www.thearcolc.org,N,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,Y,Y,N,N,"245 GENESEE STREET
UTICA, NY 13501
(43.100138, -75.233793)"
HUDSON VALLEY DDSO,ANOTHER STEP  INC.,706 EXECUTIVE BOULEVARD,,VALLEY COTTAGE,NY,10989,845-268-8200,ROCKLAND,http://anotherstep.org,N,Y,N,N,Y,N,N,N,Y,N,Y,Y,Y,Y,N,N,"706 EXECUTIVE BOULEVARD
VALLEY COTTAGE, NY 10989
(41.129452, -73.943597)"
FINGER LAKES DDSO,MOZAIC,1083 WATERLOO-GENEVA ROAD,,WATERLOO,NY,13165,315-539-5067,SENECA,http://www.sencayarc.org,N,Y,N,N,Y,N,N,N,Y,N,Y,Y,Y,Y,N,N,"1083 WATERLOO-GENEVA ROAD
WATERLOO, NY 13165
(42.89964, -76.892847)"
SUNMOUNT DDSO,ARC JEFFERSON-ST.LAWRENCE NEW YORK (THE),380 GAFFNEY DRIVE,PO BOX 41,WATERTOWN,NY,13601,315-788-2730,JEFFERSON,http://www.thejrc.org,N,Y,N,Y,Y,N,N,N,Y,N,Y,Y,Y,Y,N,N,"380 GAFFNEY DRIVE
WATERTOWN, NY 13601
(43.984154, -75.941)"
FINGER LAKES DDSO,CDS MONARCH  INC.,860 HARD ROAD,,WEBSTER,NY,14580,585-341-4600,MONROE,http://cdsmonarch.org,N,Y,Y,N,Y,N,N,N,Y,Y,Y,Y,Y,Y,N,N,"860 HARD ROAD
WEBSTER, NY 14580
(43.216749, -77.461282)"
WESTERN NEW YORK DDSO,NYS ARC ALLEGANY COUNTY CHAPTER,240 O'CONNOR STREET,,WELLSVILLE,NY,14895,585-593-5700,ALLEGANY,http://www.alleganyarc.org,N,Y,Y,Y,Y,N,N,N,Y,N,Y,Y,Y,Y,N,N,"240 O'CONNOR STREET
WELLSVILLE, NY 14895
(42.130045, -77.950334)"
LONG ISLAND DDSO,COMMUNITY MAINSTREAMING ASSOC.  INC.,1025 OLD COUNTRY ROAD,SUITE 325,WESTBURY,NY,11590,516-683-0710,NASSAU,http://communitymainstreaming.org/,N,Y,N,Y,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,"1025 OLD COUNTRY ROAD
WESTBURY, NY 11590
(40.755029, -73.557725)"
