Facility Name,Location Address,Location Address2,City,State,Zip Code,County,Region,Phone Number,Owner Name,Owner Type,Activity Desc,Activity Number,Active,East Coordinate,North Coordinate,Accuracy Code,Waste Types,Regulatory Status,Authorization Number,Authorization Issue Date,Expiration Date,Georeference
Westport Transfer Station,Ledge Hill Road,,Elizabethtown,NY,12993,Essex,5,5189624419,Essex County,County,Transfer station - registration,[16R32],Yes,617430,4894623,,MSW (Residential/Institutional & Commercial),Registration,16R32,02/09/1994,,
Essex-Willsboro Transfer Station,Route 22,,Essex,NY,12936,Essex,5,5189634287,Essex County,Municipal,Transfer station - registration,[16R40],Yes,629430,4907123,,MSW (Residential/Institutional & Commercial),Registration,16R40,,,"22 Essex
NY 12936
(44.289882, -73.990467)"
Keene Transfer Station,Shaffer Road,,Keene,NY,12942,Essex,5,5185764444,Essex County,County,Transfer station - registration,[16R25],Yes,597530,4898822,,MSW (Residential/Institutional & Commercial),Registration,16R25,,,
North Elba Transfer Station,74 Recycle Circle Lane,,Lake Placid,NY,12946,Essex,5,5185232940,Essex County,Municipal,Transfer station - registration,[16R29],Yes,582630,4902422,,MSW (Residential/Institutional & Commercial),Registration,16R29,02/09/1994,,"74 Recycle Circle Lane
Lake Placid, NY 12946
(44.271389, -73.967404)"
Lewis Transfer Station - Elizabethtown,8181 Route 9,,Lewis,NY,12950,Essex,5,5188736650,Essex County,Municipal,Transfer station - registration,[16R38],Yes,614062,4900800,,MSW (Residential/Institutional & Commercial);Construction & Demolition Debris,Registration,16R38,,,"8181 Route
Lewis, NY 12950"
Minerva Transfer Station,437 O'Neil Road,,Minerva,NY,12851,Essex,5,5182512869,Essex County,Municipal,Transfer station - registration,[16R37],Yes,584831,4850223,,MSW (Residential/Institutional & Commercial),Registration,16R37,,,"437 O Neil Road
Minerva, NY 12851
(43.799678, -73.945409)"
Moriah Transfer Station,Joyce Road,,Moriah,NY,12974,Essex,5,5185468631,Essex County,County,Transfer station - registration,[16R27],Yes,618131,4882223,,MSW (Residential/Institutional & Commercial);Construction & Demolition Debris,Registration,16R27,,,
Newcomb Transfer Station,Hudson River Road,,Newcomb,NY,12852,Essex,5,5185823211,Essex County,County,Transfer station - registration,[16R28],Yes,569531,4868023,,MSW (Residential/Institutional & Commercial),Registration,16R28,,,
North Hudson Transfer Station,Route 9,,North Hudson,NY,12855,Essex,5,5185327217,Essex County,County,Transfer station - registration,[16R43],Yes,602033,4867685,,MSW (Residential/Institutional & Commercial),Registration,16R43,,,"9 North Hudson
NY 12855"
Schroon Transfer Station,Alder Meadow Road,,Schroon,NY,12870,Essex,5,5185327737,Essex County,County,Transfer station - registration,[16R31],Yes,601031,4857023,,MSW (Residential/Institutional & Commercial),Registration,16R31,,,
St. Armand Transfer Station,River Road,Route 3,St. Armand,NY,12913,Essex,5,5188913189,Essex County,County,Transfer station - registration,[16R42],Yes,572130,4913823,,MSW (Residential/Institutional & Commercial),Registration,16R42,02/09/1994,,
Ticonderoga Transfer Station,Burn Baughn Road,,Ticonderoga,NY,12883,Essex,5,5185856265,Essex County,County,Transfer station - registration,[16R41],Yes,624731,4862923,,MSW (Residential/Institutional & Commercial),Registration,16R41,02/09/1994,,
Wilmington Transfer Station,Bonnieview Road,,Wilmington,NY,12997,Essex,5,5189467179,Essex County,County,Transfer station - registration,[16R34],Yes,596330,4921122,,MSW (Residential/Institutional & Commercial),Registration,16R34,02/09/1994,,
Tupper Lake Transfer Station,131 Big Wolf Road,,Altamont,NY,12986,Franklin,5,5183593350,Franklin County,Municipal,Transfer station - registration,[17R01],Yes,542604,4900600,,Construction & Demolition Debris;MSW (Residential/Institutional & Commercial);Commingled Paper & Containers;Corrugated Cardboard;Metals (Ferrous & Non-Ferrous);Commingled Plastics;Waste Tires,Registration,17R01,,,"131 Big Wolf Road
Altamont, NY 12986
(44.258144, -74.466763)"
Lake Clear Transfer Station,59 Dump Road,,Harrietstown,NY,12945,Franklin,5,5188917218,Franklin County,Municipal,Transfer station - registration,[17R05],Yes,561568,4913963,,Construction & Demolition Debris;MSW (Residential/Institutional & Commercial);Commingled Paper & Containers;Corrugated Cardboard;Metals (Ferrous & Non-Ferrous);Commingled Plastics;Waste Tires,Registration,17R05,,,"59 Dump Road
Harrietstown, NY 12945
(44.376785, -74.228423)"
Malone Transfer Station,326 Brand Road,,Malone,NY,12953,Franklin,5,5184816129,Franklin County,Municipal,Transfer station - registration,[17R06],Yes,554634,4969377,1 - No accuracy stated,MSW (Residential/Institutional & Commercial);Construction & Demolition Debris;Commingled Paper & Containers;Corrugated Cardboard;Metals (Ferrous & Non-Ferrous);Commingled Plastics;Waste Tires,Registration,17R06,03/10/2004,,"326 Brand Road
Malone, NY 12953
(44.876183, -74.308437)"
Gloversville Drop Off,58 Beaver Street,,Gloversville,NY,12078,Fulton,5,5187734557,Gloversville DPW,Municipal,Transfer station - registration,[18R08],Yes,553104,4765805,,Construction & Demolition Debris;MSW (Residential/Institutional & Commercial);Wood (Brush/ Branches/ Trees/ Stumps),Registration,18R08,06/22/2006,,"58 Beaver Street
Gloversville, NY 12078
(43.042977, -74.348017)"
Catskill Transfer Station,183 Route 385,,Catskill,NY,12414,Greene,4,5189430341,Greene County,County,Transfer station - permit,[20T55],Yes,593714,4674467,,MSW (Residential/Institutional & Commercial),Permit,4-1926-00109/00001,08/19/2016,08/18/2021,"183 Route
Catskill, NY 12414"
Blue Mt Lake Recyclables and SW Collection,Route 30,,Blue Mountain Lake,NY,12847,Hamilton,5,5186485885,Town of Indian Lake,Municipal,Transfer station - registration,[21R04],Yes,545535,4858086,,Construction & Demolition Debris,Registration,21R04,,,"30 Blue Mountain Lake
NY 12847"
Hope Solid Waste and Recyclables Collection Site,Route 30,,Hope,NY,12134,Hamilton,5,5189243400,Town of Hope,Municipal,Transfer station - registration,[21R02],Yes,561594,4794365,,Construction & Demolition Debris;MSW (Residential/Institutional & Commercial),Registration,21R02,,,"30 Hope
NY 12134"
Hamilton County Transfer Station - Indian Lake,165 Chain Lakes Road,,Indian Lake,NY,12842,Hamilton,5,5186480223,Hamilton County Highway Dept,County,Transfer station - registration,[21R05],Yes,561122,4848758,,Commingled Paper & Containers;Construction & Demolition Debris;Metals (Ferrous & Non-Ferrous);MSW (Residential/Institutional & Commercial),Registration,21R05,,,"165 Chain Lakes Road
Indian Lake, NY 12842
(43.788174, -74.23899)"
Inlet Recyclables Recovery Facility,Limekiln Road,County Route 14,Inlet,NY,13360,Hamilton,5,3153573867,Town of Inlet,Municipal,Transfer station - registration,[21R03],Yes,517259,4842534,,Construction & Demolition Debris;MSW (Residential/Institutional & Commercial),Registration,21R03,,,
Hamilton County Transfer Station - Lake Pleasant,2297 NYS Route 8,,Lake Pleasant,NY,12108,Hamilton,5,5185483867,Hamilton County,County,Transfer station - registration,[21R06],Yes,544246,4811364,,Construction & Demolition Debris;MSW (Residential/Institutional & Commercial);Commingled Paper & Containers;Wood (Trees/Stumps);Electronics;Corrugated Cardboard;Metals (Ferrous & Non-Ferrous);Commingled Plastics;Waste Tires,Registration,21R06,,,"2297 NYS Route
Lake Pleasant, NY 12108"
Long Lake SW & Recyclables Collection Site,Route 28N,,Long Lake,NY,12847,Hamilton,5,5186243001,Town of Long Lake,Municipal,Transfer station - registration,[21R01],Yes,549836,4869605,,MSW (Residential/Institutional & Commercial);Construction & Demolition Debris,Registration,21R01,,,"28N Long Lake
NY 12847"
Raquette Lake Recyclables Collection Site & TS,Antlers Road,,Long Lake,NY,12847,Hamilton,5,5186243088,Town of Long Lake,Municipal,Transfer station - registration,[21R07],Yes,527671,4852191,1 - No accuracy stated,MSW (Residential/Institutional & Commercial),Registration,21R07,,,
Wells TS and LCD LF,232 Griffin Road,,Wells,NY,12190,Hamilton,5,5189247912,Town of Wells,Municipal,Transfer station - registration,[21R08],Yes,559211,4806968,,,Registration,,,,"232 Griffin Road
Wells, NY 12190
(43.415122, -74.268713)"
Salisbury Transfer Station,2290 State Route 29,,Salisbury (T),NY,13454,Herkimer,6,3154293223,Town of Salisbury,Municipal,Transfer station - registration,[22R04],Yes,515254,4775812,4.2 - Utilization of GIS and existing spatial data,MSW (Residential/Institutional & Commercial);Commingled Paper & Containers;Glass,Registration,22R04,11/09/2000,,"2290 State Route
Salisbury (T, NY 13454"
Adams Transfer Station,County Rt 97,,Adams,NY,13605,Jefferson,6,3152323057,Town of Adams,Municipal,Transfer station - registration,[23R14],Yes,419787,4847745,4.2 - Utilization of GIS and existing spatial data,Construction & Demolition Debris;MSW (Residential/Institutional & Commercial);Corrugated Cardboard;Commingled Paper & Containers;Electronics,Registration,23R14,04/25/1994,,"97 Adams
NY 13605"
Newberry Transfer Station,Swan Hollow Road,,Alexandria Bay,NY,13607,Jefferson,6,3154829472,Royce Newberry,Private,Transfer station - permit,[23T19],Yes,428607,4909366,,Construction & Demolition Debris;Metals (Ferrous & Non-Ferrous),Permit,6-2222-00291/00003,11/01/2016,10/30/2018,
Waste Management of NY (Card Rd),22360 Card Road,,Black River,NY,13612,Jefferson,6,3157735697,Waste Management of NY,Private,Transfer station - permit,[23T09],Yes,440476,4871285,,Construction & Demolition Debris;MSW (Residential/Institutional & Commercial);Commingled Paper & Containers,Permit,6-2254-00049/00004,01/19/2017,06/11/2022,"22360 Card Road
Black River, NY 13612
(43.991784, -75.743996)"
Thousand Island Park Transfer Station,Sunrise Ave. Extension,,Thousand Island Park,NY,13692,Jefferson,6,3154822576,Thousand Island Park Corporation,Private,Transfer station - permit,[23T24],Yes,418112,4904840,,Construction & Demolition Debris;Metals (Ferrous & Non-Ferrous),Permit,6-2246-00350/00002,06/01/2015,06/01/2020,
Watertown Transfer Station,Heinz Road,,Watertown,NY,13601,Jefferson,6,3157860523,Town of Watertown,Municipal,Transfer station - registration,[23R13],Yes,421279,4861559,4.2 - Utilization of GIS and existing spatial data,,Registration,23R13,04/25/1994,,
Action Environmental Services - Stanley Ave,941 Stanley Ave.,,Brooklyn,NY,11208,Kings,2,7186652367,Action Environmental Systems LLC,Private,Transfer station - permit,[24TB7],Yes,595095,4501980,,MSW (Residential/Institutional & Commercial);Commingled Paper & Containers,None,2-6105-00227/00003,02/08/2016,02/07/2021,"941 Stanley Ave
Brooklyn, NY 11208
(40.663562, -73.874117)"
CityGreen Organics,105-115 THAMES Street,,Brooklyn,NY,11237,Kings,2,7184561307,,,Transfer station - permit,[24T40],Yes,590531,4506557,,MSW (Residential/Institutional & Commercial);Corrugated Cardboard;Metals (Ferrous & Non-Ferrous),Permit,2-6104-00096/00002,03/24/2017,04/28/2021,"105 115 THAMES Street
Brooklyn, NY 11237
(40.705411, -73.928672)"
Hi-Tech Resource Recovery Inc,130 Varick Avenue,,Brooklyn,NY,11237,Kings,2,7183865750,Hi-Tech Resource Recovery Inc,Private,Transfer station - permit,[24T73],Yes,590549,4507134,,MSW (Residential/Institutional & Commercial);Commingled Paper & Containers;Corrugated Cardboard;Metals (Ferrous & Non-Ferrous);Commingled Plastics;Wood (Brush/ Branches/ Trees/ Stumps),Permit,2-6104-00012/00004,05/05/2016,05/04/2021,"130 Varick Avenue
Brooklyn, NY 11237
(40.710731, -73.928359)"
IESI NY Corporation -110 120 50th St.,110-120 50th Street,,Brooklyn,NY,11232,Kings,2,7186803733,IESI NY Corporation,Private,Transfer station - permit,[24T95],Yes,582935,4500383,,MSW (Residential/Institutional & Commercial),None,2-6102-00067/00001,04/05/2016,04/04/2021,"110 120 50th Street
Brooklyn, NY 11232
(40.649689, -74.017914)"
IESI NY Corporation 577 Court St,563-577 Court Street,,Brooklyn,NY,11232,Kings,2,7182375596,IESI NY Corporation,Private,Transfer station - permit,[24TA1],Yes,584457,4502886,,MSW (Residential/Institutional & Commercial);Food Scraps,Permit,2-6102-0074/00006,11/08/2017,11/02/2022,"563 577 Court Street
Brooklyn, NY 11232
(40.673069, -74.000351)"
NYCDOS MTS @ HAMILTON AVE.,500 HAMILTON Avenue,,Brooklyn,NY,11232,Kings,2,2128378030,New York City Department of Sanitation,,Transfer station - permit,[24T11],Yes,584605,4502526,,,Permit,2-6102-00010/00013,10/13/2015,11/15/2018,"500 HAMILTON Avenue
Brooklyn, NY 11232
(40.669563, -73.997405)"
NYCDOS SOUTHWEST BROOKLYN MTS,41ST STREET & GRAVESEND BAY,,Brooklyn,NY,11214,Kings,2,2128378030,NYCDOS,Municipal,Transfer station - permit,[24T03],Yes,584932,4493679,,MSW (Residential/Institutional & Commercial),Construction,,07/31/2017,07/31/2022,"41ST STREET
Brooklyn, NY 11214"
WMNY Varick 1 Transfer Station,215 Varick Avenue,,Brooklyn,NY,11237,Kings,2,7185335266,Waste Management of NY; LLC,Private,Transfer station - permit,[24T66],Yes,590479,4507435,4.2 - Utilization of GIS and existing spatial data,Yard Waste;MSW (Residential/Institutional & Commercial),Permit,2-6104-00010/00002,10/21/2014,10/21/2019,"215 Varick Avenue
Brooklyn, NY 11237
(40.713076, -73.92942)"
WMNY BQE Transfer Station,475 Scott Avenue,,Brookyn,NY,11222,Kings,2,7185335398,Waste Management of NY,Private,Transfer station - permit,[24T04],Yes,590298,4508891,4.2 - Utilization of GIS and existing spatial data,MSW (Residential/Institutional & Commercial);Wood (Brush/ Branches/ Trees/ Stumps);Corrugated Cardboard;Metals (Ferrous & Non-Ferrous);White Goods;Waste Tires,Permit,2-6101-00026/00001,04/28/2016,04/27/2021,"475 Scott Avenue
Brookyn, NY 11222
(40.726314, -73.93003)"
Williamson Services,12988 North Croghan Road,,Natural Bridge,NY,13665,Lewis,6,3156444000,Williamson Services LLC,Private,Transfer station - permit,[25T01],Yes,460526,4878981,4.3 - Utilization of Digital Orthophoto Quads,MSW (Residential/Institutional & Commercial);Commingled Paper & Containers,Permit,6-2324-00118/00002,05/31/2018,05/30/2023,"12988 North Croghan Road
Natural Bridge, NY 13665
(44.06436, -75.492086)"
Avon (T) Highway Dept,5390 Agar Road,,Avon,NY,14414,Livingston,8,5852262425,Town of Avon Highway Dept.,Municipal,Transfer station - registration,[26R21],Yes,276825,4749994,1 - No accuracy stated,MSW (Residential/Institutional & Commercial);Waste Tires,Registration,26R21,,,"5390 Agar Road
Avon, NY 14414
(42.871453, -77.719147)"
Center Point Transfer Station Inc,119 River Road,,Caledonia,NY,14546,Livingston,8,5858890050,Matthew Loughry,Private,Transfer station - permit,[26T03],Yes,276310,4762426,,Construction & Demolition Debris;MSW (Residential/Institutional & Commercial);Single Stream;Metals (Ferrous & Non-Ferrous),Permit,8-2422-00047/00001-0,06/03/2014,07/31/2024,"119 River Road
Caledonia, NY 14546
(42.98176, -77.743562)"
West Sparta TS,8302 Kysorville-Byersville Rd,,Dansville,NY,14437,Livingston,8,5853353138,Town of West Sparta,Municipal,Transfer station - registration,[26R13],Yes,271063,4722424,,Commingled Paper & Containers;Metals (Ferrous & Non-Ferrous);Commingled Plastics,Registration,26R13,,,"8302 Kysorville-Byersville Rd
Dansville, NY 14437
(42.621018, -77.79124)"
Multi Metal Recycling LLC,4502 York Road,,Leicester,NY,14481,Livingston,8,5853823822,Wayne Scofield,Private,Transfer station - permit,[26T],Yes,263100,4742523,,MSW (Residential/Institutional & Commercial);Construction & Demolition Debris,Permit,8-2430-00044/00001,03/28/2018,12/31/2027,"4502 York Road
Leicester, NY 14481
(42.798543, -77.896603)"
Mt Morris TS and Recycling,70 Al Lorenz Drive,,Mt. Morris,NY,14510,Livingston,8,5856584885,Town of Mt. Morris,Municipal,Transfer station - registration,[26R16],Yes,263448,4734625,,MSW (Residential/Institutional & Commercial);Commingled Paper & Containers,Registration,26R16,,,"70 Al Lorenz Drive
Mt Morris, NY 14510"
Greece (T) Transfer Station,635 Flynn Road,,Rochester,NY,14612,Monroe,8,5857232376,Town of Greece,Municipal,Transfer station - permit,[28R04],Yes,281127,4792974,1 - No accuracy stated,Asphalt;Wood (Brush/ Branches/ Trees/ Stumps);Metals (Ferrous & Non-Ferrous);Concrete;Clean Fill;Leaves & Grass,Permit,8-2628-00224/00009,05/15/2012,05/20/2022,"635 Flynn Road
Rochester, NY 14612
(43.281396, -77.714726)"
JC Fibers Inc,1779 Mt Read Blvd,,Rochester,NY,14615,Monroe,8,5853427210,Frank Colubriale,Private,Transfer station - permit,[28T14],Yes,283600,4784300,1 - No accuracy stated,Construction & Demolition Debris;MSW (Residential/Institutional & Commercial);Single Stream,Permit,8-2699-00117/00001,08/16/2011,08/15/2021,"1779 Mt Read Blvd
Rochester, NY 14615
(43.187516, -77.659593)"
Amsterdam Transfer Station,1247 Route 5S,,Amsterdam,NY,12010,Montgomery,4,5188435990,Montgomery County,Municipal,Transfer station - permit,[29T05],Yes,566819,4752541,,Construction & Demolition Debris;Sludge (Industrial);MSW (Residential/Institutional & Commercial);Sewage Treatment Plant Sludge;Asbestos (Non-Friable);Single Stream;Wood (Brush/ Branches/ Trees/ Stumps);Electronics;Metals (Ferrous & Non-Ferrous),Permit,4-2701-00031/00004,01/01/2019,12/31/2028,"1247 Route 5 S
Amsterdam, NY 12010"
Charleston Transfer Station,480 Corbin Hill Road,,Charleston,NY,12166,Montgomery,4,5189225867,Town of Charleston,Municipal,Transfer station - registration,[29R24],Yes,550573,4740689,,MSW (Residential/Institutional & Commercial);Commingled Paper & Containers,None,29R24,,,"480 Corbin Hill Road
Charleston, NY 12166
(42.81676, -74.38092)"
Western TS,4583 Route 5S,,Sprakers,NY,12166,Montgomery,4,5186734884,,,Transfer station - permit,[29T07],Yes,543566,4749115,,Construction & Demolition Debris;MSW (Residential/Institutional & Commercial);Sewage Treatment Plant Sludge;Emergency Authorization Waste (Storm Debris);Asbestos (Non-Friable);Single Stream;Wood (Brush/ Branches/ Trees/ Stumps);Electronics;Metals (Ferrous & Non-Ferrous),Permit,4-2736-00014/00002,02/17/2015,01/31/2025,"4583 Route 5 S
Sprakers, NY 12166"
Floral Park Transfer Station,One Floral Blvd,,Floral Park,NY,11001,Nassau,1,5163266300,Village of Floral Park,Municipal,Transfer station - registration,[30M47R],Yes,609560,4509131,,Land Clearing Debris;Wood (Brush/ Branches/ Trees/ Stumps);Yard Waste;Electronics,Registration,30M47R,11/22/1996,,"One Floral Blvd
Floral Park, NY 11001"
Freeport Transfer Station,175 Albany Avenue,,Freeport,NY,11520,Nassau,1,5163772289,Incorporated Village of Freeport,Municipal,Transfer station - registration,[30R01R],Yes,621065,4501111,4.2 - Utilization of GIS and existing spatial data,Clean Fill;MSW (Residential/Institutional & Commercial);Street Sweepings;Construction & Demolition Debris,Registration,30R01R,06/02/1995,,"175 Albany Avenue
Freeport, NY 11520
(40.649802, -73.568426)"
Winters Bros Waste Systems of LI LLC Glen Cove Facility,100 Morris Street,,Glen Cove,NY,11542,Nassau,1,5166711911,,,Transfer station - permit,[30T29],Yes,614814,4523971,4.2 - Utilization of GIS and existing spatial data,MSW (Residential/Institutional & Commercial);Brick;Concrete;Construction & Demolition Debris;Wood (Brush/ Branches/ Trees/ Stumps),Permit,1-2805-00105/00001,02/18/2015,02/17/2020,"100 Morris Street
Glen Cove, NY 11542
(40.857848, -73.63994)"
Great Neck Transfer Station,137 Steamboat Rd,,Great Neck,NY,11024,Nassau,1,5164822000,Village of Great Neck,Municipal,Transfer station - registration,[30T14R],Yes,605850,4518243,,Street Sweepings;Wood (Brush/ Branches/ Trees/ Stumps);Yard Waste;Asphalt;Emergency Authorization Waste (Storm Debris);Construction & Demolition Debris,Registration,30T14R,11/18/1996,,"137 Steamboat Rd
Great Neck, NY 11024
(40.808237, -73.748605)"
Hempstead (V) Transfer Station,470 Milburn Avenue,,Hempstead,NY,11550,Nassau,1,5164893400,Village of Hempstead,Municipal,Transfer station - registration,[30T10117],Yes,617604,4504668,,Yard Waste;Construction & Demolition Debris,Registration,30T10117,09/23/2019,09/23/2024,"470 Milburn Avenue
Hempstead, NY 11550
(40.684558, -73.607492)"
Kings Point DPW Storage Facility,Kings Point Road,,Kings Point,NY,11024,Nassau,1,5164827872,Village of Kings Point,Municipal,Transfer station - registration,[30R08R],Yes,605155,4519150,4.3 - Utilization of Digital Orthophoto Quads,Yard Waste;Construction & Demolition Debris;MSW (Residential/Institutional & Commercial);Street Sweepings;Emergency Authorization Waste (Storm Debris);Wood (Brush/ Branches/ Trees/ Stumps),Registration,30R08R,09/12/2008,,
Sanitary District #1,2 Bay  Boulevard,,Lawrence,NY,11559,Nassau,1,5162395600,Sanitary District #1,Municipal,Transfer station - permit,[30T91],Yes,606300,4498200,4.2 - Utilization of GIS and existing spatial data,MSW (Residential/Institutional & Commercial);Commingled Paper & Containers;Yard Waste;Construction & Demolition Debris;Single Stream;Newspaper;Corrugated Cardboard;Metals (Ferrous & Non-Ferrous);Commingled Plastics;Waste Tires,Permit,1-2820-01335/00002,09/10/2015,09/10/2020,"2 Bay Boulevard
Lawrence, NY 11559
(40.628395, -73.737276)"
Long Beach Recycling Transfer Station,One City Hall,,Long Beach,NY,11561,Nassau,1,5164311000,City of Long Beach,Municipal,Transfer station - registration,[30M32R],Yes,613388,4494472,,Concrete;Asphalt;Wood (Clean);Commingled Paper & Containers;Yard Waste;Construction & Demolition Debris;MSW (Residential/Institutional & Commercial);Sludge (Industrial);Metals (Ferrous & Non-Ferrous);Electronics;Corrugated Cardboard;White Goods,Registration,30T10112,12/15/2018,12/14/2021,"One City
Long Beach, NY 11561"
Malverne (V) Transfer Station,Pinebrook Lane and Ocean Ave,,Malverne,NY,11565,Nassau,1,5165997421,Village of Malverne,Municipal,Transfer station - registration,[30R03R],Yes,613018,4503393,1 - No accuracy stated,Yard Waste;Wood (Brush/ Branches/ Trees/ Stumps);Wood (Trees/Stumps);Wood (Chips),Registration,30R03R,03/30/2000,,"Pinebrook Lane
Malverne, NY 11565"
Merrick Transfer Station,1600 Merrick Road,,Merrick,NY,11566,Nassau,1,5163784210,Town of Hempstead Department of Sanitation,Municipal,Transfer station - permit,[30T10],Yes,621467,4501204,4.2 - Utilization of GIS and existing spatial data,Commingled Paper & Containers;MSW (Residential/Institutional & Commercial);White Goods;Concrete;Construction & Demolition Debris;Metals (Ferrous & Non-Ferrous);Waste Tires;Yard Waste,Permit,1-2820-01318/00004,01/05/2017,01/04/2022,"1600 Merrick Road
Merrick, NY 11566
(40.65383, -73.561568)"
Oceanside Transfer Station,3737 Long Beach Road,,Oceanside,NY,11572,Nassau,1,5163784210,Town of Hempstead Department of Sanitation,Municipal,Transfer station - permit,[30T19],Yes,615142,4497328,4.2 - Utilization of GIS and existing spatial data,Yard Waste;White Goods;Concrete;Construction & Demolition Debris;Metals (Ferrous & Non-Ferrous),Permit,1-2820-00435/00008,02/05/2019,02/04/2024,"3737 Long Beach Road
Oceanside, NY 11572
(40.61914, -73.640917)"
S&M Prompt Rubbish Removal Service Inc,7 Linden Place,,Oceanside,NY,11572,Nassau,1,5167642950,Salvatore Mancuso,Private,Transfer station - permit,[30T100],Yes,616017,4500846,1 - No accuracy stated,Construction & Demolition Debris;Waste Tires;Commingled Paper & Containers,Permit,1-2820-04784/00001,07/21/2014,04/12/2019,"7 Linden Place
Oceanside, NY 11572
(40.822127, -73.627846)"
Old Westbury Transfer Station,1 Store Hill Road,,Old Westbury,NY,11568,Nassau,1,5166260800,Village of Old Westbury,Municipal,Transfer station - registration,[30T18R],Yes,619217,4515798,,Yard Waste;Construction & Demolition Debris;Wood (Brush/ Branches/ Trees/ Stumps),Registration,30M11R,05/03/1994,,"1 Store Hill Road
Old Westbury, NY 11568
(40.780202, -73.605402)"
Plandome Village Transfer Station,Stonytown Road,,Plandome,NY,11030,Nassau,1,5163652757,Village of Plandome,Municipal,Transfer station - registration,[30T20R],Yes,610306,4518546,,Yard Waste;Street Sweepings;Wood (Brush/ Branches/ Trees/ Stumps);Yard Waste;Leaves & Grass,Registration,30T20R,12/14/1999,,
North Hempstead Transfer Station,999 West Shore Rd.,,Port Washington,NY,11050,Nassau,1,5167674634,Town of North Hempstead,Municipal,Transfer station - permit,[30T28],Yes,613233,4519923,4.2 - Utilization of GIS and existing spatial data,Construction & Demolition Debris;Yard Waste;MSW (Residential/Institutional & Commercial);Street Sweepings;Commingled Paper & Containers;Wood (Brush/ Branches/ Trees/ Stumps);Metals (Ferrous & Non-Ferrous);Corrugated Cardboard;Newspaper;Electronics;Food Scraps,Permit,1-2822-00466/00003,04/23/2015,04/23/2020,"999 West Shore Rd
Port Washington, NY 11050
(40.809924, -73.655389)"
Rockville Centre D.P.W.,10 Sunrise Highway,,Rockville Centre,NY,11570,Nassau,1,5166789267,Incorporated Village of Rockville Centre,Municipal,Transfer station - permit,[30T08],Yes,614292,4501275,4.2 - Utilization of GIS and existing spatial data,Wood (Chips);Yard Waste;Metals (Ferrous & Non-Ferrous);Commingled Paper & Containers;MSW (Residential/Institutional & Commercial);Street Sweepings;Emergency Authorization Waste (Storm Debris),Permit,1-2820-00752/00003,02/03/2016,02/02/2021,"10 Sunrise Highway
Rockville Centre, NY 11570
(40.656961, -73.656711)"
Valley Stream Transfer Station,175 Arlington Avenue,,Valley Stream,NY,11580,Nassau,1,5168258108,Incorporated Village of Valley Stream,Municipal,Transfer station - permit,[30T04],Yes,608520,4517214,4.2 - Utilization of GIS and existing spatial data,Yard Waste;MSW (Residential/Institutional & Commercial);Waste Tires;Metals (Ferrous & Non-Ferrous);Commingled Paper & Containers;Construction & Demolition Debris;Glass;Wood (Brush/ Branches/ Trees/ Stumps);Concrete;Magazines;Newspaper;Office Paper;Corrugated Cardboard;Commingled Plastics;Single Stream,Permit,1-2820-00884/00003,12/16/2016,12/15/2021,"175 Arlington Avenue
Valley Stream, NY 11580
(40.676826, -73.719042)"
Action Trucking Company,3010 Burns Ave,,Wantagh,NY,11793,Nassau,1,5167813000,Ralph Pantony,Private,Transfer station - permit,[30T11],Yes,625119,4503392,,Water (Waste);Sludge (Industrial),Permit, 1-2820-01378/00003 ,06/05/2018,12/11/2022,"3010 Burns Ave
Wantagh, NY 11793
(40.672536, -73.51995)"
Omni Recycling of Westbury Inc,7 Portland Avenue,,Westbury,NY,11590,Nassau,1,5163335741,Anthony Core,Private,Transfer station - permit,[30M10],Yes,620156,4512755,4.3 - Utilization of Digital Orthophoto Quads,MSW (Residential/Institutional & Commercial);Concrete;Soil (Clean);Wood (Chips);Metals (Ferrous & Non-Ferrous);Waste Tires;Construction & Demolition Debris;Commingled Paper & Containers;Yard Waste;Newspaper;Office Paper;Glass;Non-recyclable Scrap Plastic;Container Glass,Permit,1-2822-00487/00001,06/13/2012,06/12/2017,"7 Portland Avenue
Westbury, NY 11590
(40.756489, -73.577475)"
Vigliotti Recycling Corp Yard Waste Transfer Facility,100 Urban Avenue,,Westbury,NY,11590,Nassau,1,5163346600,Vigliotti Recycling Corp.,Private,Transfer station - permit,[30M17],Yes,621300,4512900,4.3 - Utilization of Digital Orthophoto Quads,Yard Waste;Wood (Chips);Source Separated Organic Waste,Permit,1-2822-00464/00002,08/28/2015,08/27/2020,"100 Urban Avenue
Westbury, NY 11590
(40.758552, -73.563452)"
Westbury Transfer Station,900 Dover Street,,Westbury,NY,11590,Nassau,1,5169976850,Village of Westbury,Municipal,Transfer station - registration,[30R02R],Yes,619840,4512889,4.2 - Utilization of GIS and existing spatial data,Construction & Demolition Debris;Commingled Paper & Containers;Yard Waste;Metals (Ferrous & Non-Ferrous);Street Sweepings;Electronics;Wood (Brush/ Branches/ Trees/ Stumps);Leaves & Grass,Registration,30R02R,10/19/1999,,"900 Dover Street
Westbury, NY 11590"
DSNY Pike Slip Household Special Waste Dropoff Facility,74 Pike Slip,,New York,NY,10002,New York,2,2124374657,NYC Dept of Sanitation,Municipal,Transfer station - registration,[31R24],Yes,585112,4507242,1 - No accuracy stated,Waste Oil (Other);Waste Tires,Registration,31R24,11/18/2015,,"74 Pike
New York, NY 10002"
